papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
SPRI3,10.51,-1.61,1.19,0.0,0.0,1.143,2.23,-3.07,2.36,-2.72,-2.74,0.0,0.0,-0.4286,-0.7382,66.47,0.0,22420000.0,0.0,-0.0733
SPRI5,8.52,-1.3,0.96,0.0,0.0,0.927,1.81,-2.49,1.91,-2.14,-2.15,0.0,0.0,-0.4286,-0.7382,66.47,0.0,22420000.0,0.0,-0.0733
SPRI6,11.0,-1.68,1.24,0.0,0.0,1.196,2.33,-3.21,2.47,-2.86,-2.88,0.0,0.0,-0.4286,-0.7382,66.47,0.0,22420000.0,0.0,-0.0733
SQIA3,15.74,42.9,1.77,2.495,0.0042,0.913,34605.2,19.23,-2.92,21.28,10.6,0.1297,0.057999999999999996,0.0542,0.0412,1.0,13826000.0,783626000.0,0.42,0.4019
STBP11,14.4,5.92,1.16,1.305,0.0,0.501,4.8,4.6,-1.4,3.81,2.7,0.28350000000000003,0.22039999999999998,0.1323,0.19640000000000002,1.99,0.0,2139970000.0,0.15,0.2003
STBP3,8.3,17.06,3.35,3.76,0.0794,1.445,13.82,13.26,-4.02,12.47,8.84,0.28350000000000003,0.22039999999999998,0.1323,0.19640000000000002,1.99,40491300.0,2139970000.0,0.15,0.2003
STRP4,0.21,-2.85,-0.43,0.416,0.0,0.111,-0.18,-0.45,-0.09,-1.15,-1.15,-0.9181999999999999,-0.1458,-0.25489999999999996,0.1495,0.13,0.0,-12498000.0,-0.66,-0.3639
SUBA3,84.0,61.95,8.39,8.067,0.0,6.778,8.03,115.78,8.09,106.17,106.17,0.0697,0.13019999999999998,0.1911,0.1354,5.55,0.0,530396000.0,0.0,0.0
SULA11,22.25,52.23,1.13,0.432,0.0128,0.314,0.85,-13.07,-4.6,6.62,8.51,-0.033,0.0083,-0.0562,0.0217,2.29,90212400.0,8363840000.0,0.37,0.0166
SULA3,7.43,52.32,1.13,0.433,0.0128,0.314,0.85,-13.09,-4.61,6.59,8.48,-0.033,0.0083,-0.0562,0.0217,2.29,44794.4,8363840000.0,0.37,0.0166
SULA4,7.63,53.73,1.17,0.444,0.0124,0.323,0.88,-13.45,-4.73,6.24,8.02,-0.033,0.0083,-0.0562,0.0217,2.29,88710.7,8363840000.0,0.37,0.0166
SULT3,0.56,0.1,0.02,0.047,0.0,0.004,-0.02,-0.32,-0.01,-0.38,-0.41,-0.1444,0.47409999999999997,-0.012199999999999999,0.1956,0.2,0.0,364532000.0,0.01,0.0889
SULT4,0.43,0.08,0.01,0.036,0.0,0.003,-0.01,-0.25,-0.0,-0.3,-0.33,-0.1444,0.47409999999999997,-0.012199999999999999,0.1956,0.2,0.0,364532000.0,0.01,0.0889
SUZA4,13.9,0.0,0.3,0.0,0.0,0.019,0.1,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,7971000000.0,9.54,0.42450000000000004
SUZB3,46.84,3.5,2.28,1.359,0.0668,0.496,2.73,3.33,-0.99,6.37,4.6,0.4077,0.3889,0.1814,0.6524,2.81,415542000.0,27951700000.0,2.72,0.35509999999999997
SUZB5,21.13,1.58,1.03,0.613,0.0,0.224,1.23,1.5,-0.45,4.54,3.28,0.4077,0.3889,0.1814,0.6524,2.81,0.0,27951700000.0,2.72,0.35509999999999997
SUZB6,17.88,1.33,0.87,0.519,0.0,0.189,1.04,1.27,-0.38,4.31,3.12,0.4077,0.3889,0.1814,0.6524,2.81,0.0,27951700000.0,2.72,0.35509999999999997
SYNE3,4.02,0.5,0.4,0.266,0.1304,0.146,1.0,0.41,-0.78,0.82,0.78,0.6505,0.5652,0.39990000000000003,0.7934,6.61,1658110.0,1550460000.0,0.67,0.3715
SZPQ4,6.64,-7.85,2.2,0.855,0.0,0.744,2.62,-20.31,-3.17,-22.77,-22.77,-0.0421,-0.10890000000000001,-0.0377,-0.28,2.97,0.0,684467000.0,0.3,-0.11710000000000001
